vertices,redexes,redex_depths,redex_indexes,heights,widths,steps_time,strategy_name
49,6,7,16,12,15,143486,LI
46,5,8,29,12,14,158952,LI
43,4,6,27,12,13,133555,LI
40,4,9,33,12,12,153875,LI
36,3,7,31,12,11,123205,LI
32,2,5,26,12,10,95511,LI
29,1,1,1,12,9,24470,LI
26,1,2,2,13,8,39743,LI
55,4,6,10,15,18,209977,LI
51,4,9,16,15,17,259182,LI
36,4,8,15,10,11,133408,LI
33,3,5,9,8,10,97963,LI
30,2,4,4,7,9,118710,LI
22,2,3,3,7,6,34154,LI
18,2,2,2,7,5,19313,LI
15,2,2,5,7,4,28389,LI
11,1,1,1,5,3,10523,LI
56,7,17,40,19,17,483189,LI
53,7,16,39,17,16,390763,LI
50,6,12,35,15,15,313007,LI
46,5,11,31,13,14,260372,LI
41,4,10,34,11,13,215057,LI
38,3,5,16,11,12,130477,LI
18,2,2,4,6,5,32756,LI
15,2,3,5,7,4,34399,LI
13,2,4,6,5,3,33196,LI
9,1,1,1,5,2,24963,LI
52,5,12,21,18,19,478485,LI
47,4,11,18,16,17,279500,LI
37,3,10,29,11,14,241157,LI
32,2,2,4,11,12,50681,LI
29,1,1,1,11,11,22848,LI
51,6,12,25,16,20,518196,LI
38,5,8,21,12,14,172314,LI
35,4,6,19,10,13,137613,LI
32,3,4,5,10,12,82923,LI
29,2,3,26,9,11,56002,LI
26,1,1,1,9,10,29460,LI
32,5,5,9,8,9,78806,LI
29,5,4,8,8,8,62732,LI
26,4,3,5,7,7,65277,LI
23,4,4,11,6,6,61909,LI
20,4,5,14,6,5,118438,LI
17,4,4,13,6,4,51809,LI
14,3,3,10,6,3,54631,LI
11,2,2,4,6,2,21417,LI
7,1,1,1,4,1,7136,LI
54,4,14,23,18,20,365880,LI
50,3,13,37,18,19,366733,LI
47,2,14,39,18,18,292582,LI
44,1,10,31,16,17,210893,LI
56,5,10,10,22,18,430038,LI
53,5,17,32,22,17,557152,LI
50,4,13,15,22,16,589880,LI
28,3,10,12,12,9,151018,LI
25,2,9,9,12,8,226206,LI
22,1,4,4,12,7,61835,LI
21,2,7,7,11,6,79148,LI
18,1,3,3,11,5,33796,LI
55,6,18,41,19,21,428120,LI
52,5,17,38,18,20,340754,LI
49,4,15,34,16,19,363449,LI
44,3,10,23,14,17,230513,LI
41,2,6,17,14,16,141041,LI
23,1,2,2,8,9,33276,LI
52,9,7,16,16,17,262841,LI
49,8,9,19,16,16,218147,LI
46,7,15,37,16,15,302854,LI
43,6,12,34,14,14,230154,LI
40,5,10,28,12,13,195485,LI
37,5,10,28,12,12,172484,LI
34,4,9,25,10,11,145041,LI
30,3,4,11,10,10,159688,LI
27,3,3,10,9,9,64121,LI
40,5,5,17,10,12,125398,LI
37,5,5,27,11,11,125047,LI
34,4,4,16,11,10,96066,LI
31,4,4,16,9,9,86866,LI
28,4,4,16,9,8,79191,LI
21,3,3,10,7,6,47335,LI
18,2,2,7,8,5,43277,LI
15,1,1,1,7,4,13889,LI
51,6,17,18,18,18,435916,LI
48,5,17,30,18,17,408558,LI
45,4,16,27,17,16,362415,LI
42,3,11,12,17,15,338981,LI
39,3,11,27,15,14,251298,LI
36,2,10,11,15,13,211623,LI
33,1,6,7,13,12,122850,LI
53,7,9,12,20,17,167522,LI
